source,source_type,mentions,countries,confidence
MPS Professional Standards Command,named (unclassified),1,1,medium
CSP- DPA,named (unclassified),1,1,medium
World Prison Brief,named (unclassified),1,1,medium
Center and Centro de Derechos Humanos Miguel Agustin Pro Juarez,named (unclassified),1,1,medium
National Statistics Institute,named (unclassified),1,1,medium
General Police Inspectorate,named (unclassified),1,1,medium
Antitorture Prosecution Office,named (unclassified),1,1,medium
Jewish Community of Moldova,named (unclassified),1,1,medium
Pressure The Globe International Center,named (unclassified),1,1,medium
Voice of America,named (unclassified),1,1,medium
Globe International Center,named (unclassified),1,1,medium
NHRC and NGOs,named (unclassified),1,1,medium
National Police Agency,named (unclassified),1,1,medium
Digital Forensic Center,named (unclassified),1,1,medium
Media Trade Union,named (unclassified),1,1,medium
Ministry of Finance,named (unclassified),1,1,medium
Rights Center,named (unclassified),1,1,medium
Libertas Press,named (unclassified),1,1,medium
NGO Civic Alliance,named (unclassified),1,1,medium
Higher Commission for Planning,named (unclassified),1,1,medium
independent observer,unnamed/generic,1,1,low
Namibia Food and Allied Workers Union,named (unclassified),1,1,medium
Rebel Groups Journalists and NGOs,named (unclassified),1,1,medium
Labor Act,named (unclassified),1,1,medium
NGO Solidarity Center,named (unclassified),1,1,medium
UN Office of High Commissioner for Human Rights,named (unclassified),1,1,medium
NGO Informal Sector Service Center,named (unclassified),1,1,medium
Public Prosecution Services,named (unclassified),1,1,medium
Center for Information and Documentation Israel,named (unclassified),1,1,medium
June the New Zealand Jewish Council,named (unclassified),1,1,medium
independent nongovernmental organizations,unnamed/generic,1,1,low
UN Group of Human Rights Experts on Nicaragua,named (unclassified),1,1,medium
Costa Rica,named (unclassified),1,1,medium
Union of Journalists of Free Press of Africa,named (unclassified),1,1,medium
Nigerien Bar Association,named (unclassified),1,1,medium
Nigerian Immigration Service,named (unclassified),1,1,medium
Korean Institute for National Unification (KINU),named (unclassified),1,1,medium
Korea Future,named (unclassified),1,1,medium
UN High Commissioner for Human Rights Türk,named (unclassified),1,1,medium
Database Center for North Korean Human Rights,named (unclassified),1,1,medium
domestic journalists,unnamed/generic,1,1,low
Radio Free Asia (RFA),named (unclassified),1,1,medium
NK News,named (unclassified),1,1,medium
In April RFA,named (unclassified),1,1,medium
Report on North Korea Human Rights,named (unclassified),1,1,medium
